NR_INWENT;NAZWA;REGION;GMINA;WLASCICIEL;DLUGOSC;GLEBOKOSC;PRZEWYZSZE;DENIWELACJ;OSUWISKOWA;X_1992;Y_1992;ID;ROK_AKTUAL;CPU
T.E-12.33;Komora Gwiaździsta;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;60;0;0;0;0;566868.64;153454.44;1568;2010
T.D-12.06;Nisza przy Zagonie;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;7;0;0;0;0;566354.44;153620.78;1216;2010
T.E-09.22;Ukryty Schron;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;5;0.9;0;0.9;0;563569.6;152445.54;1461;2010
T.E-07.16;Jaskinia nad Smytnią;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;3.5;0;0;0;0;561668.11;152908.05;1311;2010
T.E-10.07;Dziura na Półce;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;5.5;0;0;0;0;565094.77;153437.51;1456;2010
T.E-08.02;Jaskinia za Smrekiem;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;80;8;2;10;0;562874.09;152324.19;1386;2010
K.Bż-05.31;Jaskinia między Świerkami w Okrąglicy;Karpaty;Zawoja (gm. wiejska);Skarb Państwa (Lasy Państwowe);7;2;0;2;1;547266.05;195812.45;10156;2015
K.Bn-09.60;Długi Okap;Karpaty;Dukla (gm. miejsko-wiejska);Prywatny;13;2.5;0;2.5;1;694378.13;188609.27;10783;2015
T.E-06.04;Schron przy Troistej I;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;2;0;0;0;0;560722.18;152844.04;1319;2010
T.E-06.06;Sarni Schron;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;3;0;0;0;0;561161.25;152645.74;1323;2010
T.E-09.10;Jaskinia pod Oknem;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;78;8;7;15;0;563391.96;152472.83;1441;2013
T.D-17.10;Szczelina nad Partyzancką;Tatry;Zakopane (gm. miejska);Skarb Państwa;3.5;0;0;0;0;572013.12;154158.32;1257;2010
T.E-05.05;Schron za Smrekiem;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;3;0;0;0;0;559849.32;153040.87;1292;2010
J.GT-01.03Ex;Schronisko przy Jaskini Mydlnickiej II;Wyżyna Śląsko-Krakowska;Kraków (gm. miejska);Prywatny;8.5;0;0;0;0;560188.31;247342.12;3328;2013
T.E-08.56;Szczelina w Żlebie z Bramką II;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;3;0;0;0;0;562409.43;153111.58;1432;2010
T.D-14.04;Szczelina w Giewoncie I;Tatry;Zakopane (gm. miejska);Skarb Państwa;3.6;3.6;0;3.6;0;568501.28;154276.34;1217;2010
T.E-08.53;Płaska Komórka w Żeleźniaku;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;4;0;0;0;0;562357.93;152980.27;1429;2010
K.Bs-04.96;Jaskinia w Grabowym Wąwozie I;Karpaty;Brenna (gm. wiejska);Skarb Państwa (Lasy Państwowe);8.1;0;0;0;1;496580.16;200530.88;10269;2014
T.E-12.29;Świstowa Studnia;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;28;15.5;0;15.5;0;567277.72;153047.67;1564;2010
T.E-12.42;Jaskinia przy Ryglu;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;17;7;0;7;0;566558.55;152706.52;1579;2010
T.E-12.32;Jaskinia Strzelista;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;83;0;18;18;0;566834.21;153433.54;1567;2010
T.E-11.23;Jaskinia przy Grzędzie;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;12;2.8;0;2.8;0;565445.36;153031.94;1504;2010
N-2.34;Słomiany Tunel;Niecka Nidziańska;Wiślica (gm. miejsko-wiejska);Skarb Państwa;7;0;1;1;0;618719.12;284926.88;733;2013
N-2.26;Jaskinia z Potokiem;Niecka Nidziańska;Wiślica (gm. miejsko-wiejska);Skarb Państwa;46;4.5;0;4.5;0;618756.49;285020.39;703;2013
K.Bs-02.161;Okap Południowy w Kamesznicy;Karpaty;Milówka (gm. wiejska);Skarb Państwa (Lasy Państwowe);1.8;0;2;2;0;502868.19;194170.01;10708;2015
K.Bn-09.62;Schronisko w Trzcianie II;Karpaty;Dukla (gm. miejsko-wiejska);Skarb Państwa (Lasy Państwowe);2;0;0;0;0;693488.13;185236.57;10785;2015
T.E-11.60;Nyża pod Schronem w Dolinie Litworowej;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;2.8;0;0;0;0;566281.97;152959.11;1534;2010
T.E-11.44;Jaskinia Lodowa w Twardych Spadach;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;152;0;40;40;0;565537.26;152959.4;1507;2010
T.E-12.43;Jędrusiowa Dziura;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;419;52.8;3.8;56.6;0;567192.34;153136.78;1581;2015
T.E-11.06;Ptasia Studnia;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;6283;352;0;352;0;565859.83;152857.98;1473;2013
